Time,Probability
25,0.0003835483702598232
25,0.00031962364188318603
25,0.0003515860060715046
25,0.0005113978270130976
22,0.010227956540261953
25,0.0002556989135065488
25,0.0009908332898378766
25,0.0006392472837663721
25,0.0014702687526626556
22,0.0033123556879280152
25,0.0009269085614612394
25,3.19623641883186e-05
25,0.00182185475873416
22,0.0016694901686484442
25,0.00572126318970903
25,0.00044747309863646037
25,0.002940537505325311
22,0.0016743484480050694
25,9.58870925649558e-05
25,6.39247283766372e-05
22,0.001681220356305558
25,0.00044747309863646037
25,0.0006392472837663721
22,0.02029610125958247
25,0.0001917741851299116
25,0.0003515860060715046
25,0.0013743816600976998
25,0.0016620429377925672
25,0.001757930030357523
25,0.001438306388474337
25,0.0001278494567532744
25,0.01211373602737275
25,0.0003515860060715046
25,0.00159811820941593
25,0.0003835483702598232
25,0.0004155107344481418
25,0.002716800956007081
25,0.00044747309863646037
25,0.001438306388474337
25,0.0031642740546435413
25,0.0005753225553897348
25,0.0006712096479546906
25,6.39247283766372e-05
22,0.00040956573470911454
25,0.001438306388474337
25,0.0016620429377925672
25,0.0007351343763313278
25,0.005465564276202481
25,0.0005433601912014161
22,0.0031658402104887645
25,0.00031962364188318603
25,0.0003515860060715046
25,0.0002556989135065488
22,0.0017843309431770735
25,0.003100349326266904
25,0.003100349326266904
25,0.0007670967405196464
25,0.0030044622337019483
25,0.0001917741851299116
25,0.0004155107344481418
25,0.0003515860060715046
25,0.000479435462824779
22,0.0013377208283736977
25,0.003100349326266904
25,0.000479435462824779
25,0.0016300805736042486
25,0.0002556989135065488
25,9.58870925649558e-05
25,0.0014702687526626556
25,9.58870925649558e-05
25,0.0013424192959093813
22,0.0031103855086220358
25,0.00594499973902726
22,0.0031311930077086267
25,0.0009269085614612394
25,0.0009269085614612394
25,0.0008629838330846022
25,0.0008310214688962836
25,0.00022373654931823019
25,0.0034519353323384087
25,0.0001917741851299116
25,0.0005113978270130976
25,0.00022373654931823019
25,0.0016620429377925672
25,0.0033240858755851344
25,0.000479435462824779
25,0.000799059104707965
25,0.006232661016722127
25,0.0024611020425005323
25,0.0009269085614612394
25,0.0008629838330846022
25,0.0007670967405196464
25,0.0006072849195780534
25,0.0004155107344481418
25,0.006200698652533808
25,0.0007670967405196464
25,0.0013743816600976998
25,0.0005113978270130976
22,0.004826316992436109
25,0.0002556989135065488
25,0.000479435462824779
25,0.0010227956540261951
25,0.0005113978270130976
25,0.0014063440242860184
25,0.00044747309863646037
25,0.003036424597890267
25,0.0013424192959093813
25,0.0001278494567532744
25,0.00022373654931823019
25,0.0001278494567532744
25,0.0004155107344481418
22,7.910685136608852e-05
25,0.0012465322033444253
25,0.0002876612776948674
25,9.58870925649558e-05
25,0.0013424192959093813
25,0.0016940053019808858
25,0.0005433601912014161
25,0.0003515860060715046
25,0.0002876612776948674
25,6.39247283766372e-05
25,0.0001278494567532744
25,0.0007351343763313278
25,0.0005113978270130976
22,0.00024393676348524756
25,0.0032601611472084973
25,0.00022373654931823019
25,0.0003835483702598232
25,0.0005433601912014161
25,0.0006072849195780534
25,0.0005113978270130976
25,0.0001917741851299116
25,0.00022373654931823019
25,0.00015981182094159302
25,0.0029085751411369928
25,0.000799059104707965
25,0.0002876612776948674
25,3.19623641883186e-05
25,0.00044747309863646037
22,0.019497042154874456
25,0.0010547580182145137
22,0.001989465396537701
25,0.0002876612776948674
25,0.0008949461972729207
25,0.002397177314123895
25,0.00022373654931823019
22,0.0001632637562739314
25,0.0032601611472084973
25,6.39247283766372e-05
25,0.00159811820941593
25,0.0009908332898378766
25,0.00022373654931823019
25,0.0007031720121430092
25,0.0060089244674038965
25,0.00015981182094159302
25,0.0006392472837663721
25,0.00015981182094159302
25,9.58870925649558e-05
25,0.0001917741851299116
25,6.39247283766372e-05
25,0.0008310214688962836
25,0.0005753225553897348
25,0.0007351343763313278
25,0.0030683869620785854
25,0.0002556989135065488
25,0.0002876612776948674
25,0.0001917741851299116
25,0.00031962364188318603
25,0.0016620429377925672
25,0.006040886831592216
25,0.0013743816600976998
25,0.0001278494567532744
25,0.0001278494567532744
25,3.19623641883186e-05
25,0.0007351343763313278
25,0.00159811820941593
25,0.0005753225553897348
25,0.0007670967405196464
25,0.00015981182094159302
25,0.000958870925649558
25,0.0001917741851299116
25,0.0002556989135065488
25,0.0001917741851299116
22,0.0004536737972889942
25,0.0001278494567532744
25,0.00022373654931823019
25,3.19623641883186e-05
25,0.00044747309863646037
25,3.19623641883186e-05
25,0.001118682746591151
25,0.0008310214688962836
25,0.0003835483702598232
22,0.08038534593362512
25,0.0001278494567532744
25,0.0031642740546435413
25,0.0001278494567532744
25,0.00022373654931823019
25,0.0015661558452276115
25,0.0006392472837663721
25,0.0001278494567532744
25,0.0006712096479546906
25,0.00297249986951363
25,0.0003515860060715046
25,0.00015981182094159302
25,0.0017259676661692043
25,0.0006392472837663721
25,0.0003835483702598232
25,0.00022373654931823019
25,0.002269327857370621
25,0.00044747309863646037
25,0.0016940053019808858
22,0.006618798338481218
22,0.006183375051143745
25,0.0003835483702598232
25,3.19623641883186e-05
25,0.0004155107344481418
25,0.0006392472837663721
25,0.0001278494567532744
25,0.0015022311168509741
25,0.0015661558452276115
25,0.0005113978270130976
25,0.0002876612776948674
25,0.0003835483702598232
25,0.005593413732955755
22,0.009748521077437173
